,user,up_check,brand,url,features
0,멤버_464f9cc84f7d,0,119레오,https://www.musinsa.com/app/goods/1876547/0,기타 면 상의 5 남자 39000 0
1,멤버_464f9cc84f7d,0,119레오,https://www.musinsa.com/app/goods/2396824/0,카키 면 하의 5 남자 42000 0
2,멤버_464f9cc84f7d,0,119레오,https://www.musinsa.com/app/goods/2428013/0,기타 면 모자 5 남자 59000 0
3,멤버_464f9cc84f7d,0,119레오,https://www.musinsa.com/app/goods/470357/0,블랙 면 상의 5 남자 35000 0
4,멤버_464f9cc84f7d,1,119레오,https://www.musinsa.com/app/goods/1766332/0,아이보리 면 아라미드 가방 5 남자 48000 1
5,멤버_464f9cc84f7d,0,119레오,https://www.musinsa.com/app/goods/1987340/0,그린 면 상의 5 남자 39000 0
6,뉴비_d6424f15ff4d,0,119레오,https://www.musinsa.com/app/goods/1515617/0,기타 면 폴리에스터 파우치 5 여자 22000 1
7,뉴비_d6424f15ff4d,1,119레오,https://www.musinsa.com/app/goods/1766299/0,블랙 면 아라미드 가방 5 여자 48000 1
8,뉴비_d6424f15ff4d,1,119레오,https://www.musinsa.com/app/goods/1766332/0,화이트 면 아라미드 가방 5 여자 48000 1
9,뉴비_d6424f15ff4d,0,119레오,https://www.musinsa.com/app/goods/1611891/0,블랙 울 폴리에스터 상의 5 여자 163000 0
10,뉴비_d6424f15ff4d,0,119레오,https://www.musinsa.com/app/goods/1180676/0,블랙 폴리에스터 상의 5 여자 23900 0
11,뉴비_d6424f15ff4d,0,119레오,https://www.musinsa.com/app/goods/2285969/0,네이비 면 폴리에스터 셋업 5 여자 97900 0
12,scmp,0,119레오,https://www.musinsa.com/app/goods/2074806/0,베이지 면 하의 5 남자 60000 0
13,scmp,0,119레오,https://www.musinsa.com/app/goods/1767916/0,네이비 아크릴 상의 5 남자 89000 0
14,scmp,1,119레오,https://www.musinsa.com/app/goods/1766332/0,아이보리 면 아라미드 가방 5 남자 48000 1
15,뉴비_6cbf81de65bf,1,119레오,https://www.musinsa.com/app/goods/1766587/0,기타 아라미드 가방 5 여자 230000 1
16,__ S,0,119레오,https://www.musinsa.com/app/goods/726166/0,화이트 면 상의 5 여자 39000 0
17,__ S,0,119레오,https://www.musinsa.com/app/goods/1778912/0,그레이 폴리에스터 나일론 상의 5 여자 189000 0
18,__ S,0,119레오,https://www.musinsa.com/app/goods/1168906/0,블랙 폴리에스터 레이온 폴리우레탄 하의 5 여자 32900 0
19,__ S,0,119레오,https://www.musinsa.com/app/goods/1778554/0,블루 면 하의 5 여자 49000 0
20,__ S,0,119레오,https://www.musinsa.com/app/goods/1214169/0,네이비 면 모자 5 여자 36000 0
21,__ S,0,119레오,https://www.musinsa.com/app/goods/2048721/0,블랙 면 상의 5 여자 79000 0
22,__ S,0,119레오,https://www.musinsa.com/app/goods/2156711/0,그레이 폴리에스터 상의 5 여자 79000 0
23,__ S,0,119레오,https://www.musinsa.com/app/goods/2307173/0,블랙 폴리에스터 폴리우레탄 상의 5 여자 139000 0
24,__ S,1,119레오,https://www.musinsa.com/app/goods/2094066/0,기타 아라미드 파우치 5 여자 9000 0
25,__ S,0,119레오,https://www.musinsa.com/app/goods/1760674/0,블랙 폴리에스터 파우치 5 여자 39000 0
